标题: 重温的时候发现一个恐怖的事情 	 作者:  pdjkmj8 	 最后回复时间: 12:32 
标题: 『生活大爆炸』1-12季蓝光无删减整理了！速度来取，适合收藏 	 作者:  帕拉丁20 	 最后回复时间: 12:13 
标题: Sim4 自制生活大爆炸场景 	 作者:  Mira_xxx 	 最后回复时间: 10:48 
标题: 哇！好激动！破产姐妹里的Caroline来生活大爆炸客串了 	 作者:  鸡汁薯片ლ 	 最后回复时间: 10:22 
标题: 【生活大爆炸】1-12季1080p完整版整理好咯⛔️速度来取 	 作者:  花田嚟 	 最后回复时间: 09:20 
标题: 看《生活大爆炸》你发现这些了吗？ 	 作者:  戈底斯堡漩涡 	 最后回复时间: 08:42 
标题: 第十季第5集 谢耳朵解释了为什么要敲三次门的原因 我记得之前 	 作者:  Alarmi😘 	 最后回复时间: 08:41 
标题: S活大爆炸已整理 	 作者:  1469053946s 	 最后回复时间: 07:56 
标题: 和田玉挂件价格足金1万～5万和田玉手镯价格 	 作者:  加掌柜cntv994 	 最后回复时间: 01:28 
标题: question A 	 作者:  带带派带星🌟 	 最后回复时间: 4-25 
标题: 又重新刷了一遍发现霍华德父亲的信 	 作者:  白狼王da 	 最后回复时间: 01:25 
标题: 大家觉得霍华德父亲的信真正答案是怎样的？（萌新疑问） 	 作者:  金狼古蒂指环王 	 最后回复时间: 4-25 
标题: 谢耳朵唱we will rock you 是哪一集? 	 作者:  萨菲罗斯🌌🌌 	 最后回复时间: 4-25 
标题: 生活大爆炸在奈飞上下架了？ 	 作者:  霜序▫十二 	 最后回复时间: 4-25 
标题: 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 作者:  黑色诱惑1983 	 最后回复时间: 4-25 
标题: 又回头看了看，看到拉蒙娜和耳朵… 	 作者:  鬓沐 	 最后回复时间: 4-25 
标题: b站搬运自YouTube的fun with flags，牛人 	 作者:  宋毒唯给爷爬- 	 最后回复时间: 4-25 
标题: 谢尔顿为了提高效率，背了个补给包，同时解决两边问题，是哪一集 	 作者:  刘亦菲喜欢我♂ 	 最后回复时间: 4-25 
标题: Shelton Cooper可能是Asperger Syndrome（阿斯伯格症）患者 	 作者:  thomastang888 	 最后回复时间: 4-25 
标题: 第十二季出之前就已经把前十一季看完的我终于还是忍不住把最终季 	 作者:  🔯暗屠生🔯 	 最后回复时间: 4-25 
标题: 莱纳德真的喜欢佩妮吗？ 	 作者:  爱学习的萌新_ 	 最后回复时间: 4-24 
标题: 有一集BGM是we are the champion的片段 	 作者:  大富翁▫ 	 最后回复时间: 4-24 
标题: 新人刚入坑  刚看到第三季  威尔惠顿为了一场保龄球拆散一对 	 作者:  绝色曼妙 	 最后回复时间: 4-24 
标题: 五一劳动节出行有好的出行方式吗？ 	 作者:  辭操彝子問彝ma 	 最后回复时间: 4-24 
标题: 波思沃这个品牌是一个什么样的品牌啊？ 	 作者:  尾蓋琴藏蛋肥hs 	 最后回复时间: 4-24 
标题: 来看看谢耳朵是怎么应付病毒？，以及小伙伴们是如何应付谢耳朵 	 作者:  BEASION8 	 最后回复时间: 4-24 
标题: 【盖高楼】重温生活大爆炸，经典搞笑片段截图 	 作者:  BEASION8 	 最后回复时间: 4-24 
标题: 幕后特辑结尾——布景也拆了~~~ 	 作者:  Optº 	 最后回复时间: 4-24 
标题: 结局太完美了，这是一个我非常喜欢但不会看第二遍的美剧。再见谢 	 作者:  小塔子爵♤ 	 最后回复时间: 4-24 
标题: 个人觉得生活大爆炸里的智商排名.. 	 作者:  CH魔君七夜 	 最后回复时间: 4-24 
标题: 弱弱的问一句 吧里有想去澳洲的吗 	 作者:  对你不二 	 最后回复时间: 4-24 
标题: tbbt完结后，这个吧都荒凉了，有没人讨论哪几集最搞笑？我印 	 作者:  BEASION8 	 最后回复时间: 4-24 
标题: 翡翠在哪买比较合适 	 作者:  黎冯祟型合 	 最后回复时间: 4-23 
标题: 大爆炸已整理 	 作者:  1469053946HZ 	 最后回复时间: 4-23 
标题: 谢耳朵的死敌是这样练成的？ 	 作者:  BEASION8 	 最后回复时间: 4-22 
标题: 看到第四季有感。 	 作者:  碧大老 	 最后回复时间: 4-22 
标题: 有美剧推荐吗 类似生活大爆炸 	 作者:  一起出门嘛 	 最后回复时间: 4-22 
标题: 开个新帖，从今天起，更新爆炸主创们的ins 	 作者:  宇智波谢尔顿😂 	 最后回复时间: 4-22 
标题: 豌豆垃圾处理器，正在逐渐地改善着我们的生活 	 作者:  黄冰蒙 	 最后回复时间: 4-22 
标题: 给sheldon写信 	 作者:  毒毒GS 	 最后回复时间: 4-22 
标题: 问一下大家 	 作者:  一起出门嘛 	 最后回复时间: 4-22 
标题: 大家觉得小谢尔顿能拍到多少季？ 	 作者:  耳朵Moonpie 	 最后回复时间: 4-22 
标题: raj的女朋友都好好看 	 作者:  荣耀ID 	 最后回复时间: 4-22 
标题: 苏州保安公司 	 作者:  苏州保安公司 	 最后回复时间: 4-22 
标题: 和田玉把件玉有灵性了,啥表现 	 作者:  vds天蝎 	 最后回复时间: 4-21 
标题: 这是三只松鼠吗 	 作者:  KIDE434657 	 最后回复时间: 4-21 
标题: 生活大爆炸11季最后一集谢耳朵艾米结婚一个男的拿麦克风唱的叫 	 作者:  窗外空白 	 最后回复时间: 4-21 
