排名: 1 	 电影名字: 肖申克的救赎 		 评分: 9.7 		 短评: 希望让人自由。
排名: 2 	 电影名字: 霸王别姬 		 评分: 9.6 		 短评: 风华绝代。
排名: 3 	 电影名字: 阿甘正传 		 评分: 9.5 		 短评: 一部美国近现代史。
排名: 4 	 电影名字: 这个杀手不太冷 		 评分: 9.4 		 短评: 怪蜀黍和小萝莉不得不说的故事。
排名: 5 	 电影名字: 美丽人生 		 评分: 9.5 		 短评: 最美的谎言。
排名: 6 	 电影名字: 泰坦尼克号 		 评分: 9.4 		 短评: 失去的才是永恒的。 
排名: 7 	 电影名字: 千与千寻 		 评分: 9.4 		 短评: 最好的宫崎骏，最好的久石让。 
排名: 8 	 电影名字: 辛德勒的名单 		 评分: 9.5 		 短评: 拯救一个人，就是拯救整个世界。
排名: 9 	 电影名字: 盗梦空间 		 评分: 9.3 		 短评: 诺兰给了我们一场无法盗取的梦。
排名: 10 	 电影名字: 忠犬八公的故事 		 评分: 9.4 		 短评: 永远都不能忘记你所爱的人。
排名: 11 	 电影名字: 海上钢琴师 		 评分: 9.3 		 短评: 每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
排名: 12 	 电影名字: 楚门的世界 		 评分: 9.3 		 短评: 如果再也不能见到你，祝你早安，午安，晚安。
排名: 13 	 电影名字: 三傻大闹宝莱坞 		 评分: 9.2 		 短评: 英俊版憨豆，高情商版谢耳朵。
排名: 14 	 电影名字: 机器人总动员 		 评分: 9.3 		 短评: 小瓦力，大人生。
排名: 15 	 电影名字: 放牛班的春天 		 评分: 9.3 		 短评: 天籁一般的童声，是最接近上帝的存在。 
排名: 16 	 电影名字: 星际穿越 		 评分: 9.3 		 短评: 爱是一种力量，让我们超越时空感知它的存在。
排名: 17 	 电影名字: 大话西游之大圣娶亲 		 评分: 9.2 		 短评: 一生所爱。
排名: 18 	 电影名字: 熔炉 		 评分: 9.3 		 短评: 我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
排名: 19 	 电影名字: 疯狂动物城 		 评分: 9.2 		 短评: 迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
排名: 20 	 电影名字: 无间道 		 评分: 9.2 		 短评: 香港电影史上永不过时的杰作。
排名: 21 	 电影名字: 龙猫 		 评分: 9.2 		 短评: 人人心中都有个龙猫，童年就永远不会消失。
排名: 22 	 电影名字: 教父 		 评分: 9.3 		 短评: 千万不要记恨你的对手，这样会让你失去理智。
排名: 23 	 电影名字: 当幸福来敲门 		 评分: 9.1 		 短评: 平民励志片。 
排名: 24 	 电影名字: 怦然心动 		 评分: 9.1 		 短评: 真正的幸福是来自内心深处。
排名: 25 	 电影名字: 触不可及 		 评分: 9.2 		 短评: 满满温情的高雅喜剧。
排名: 26 	 电影名字: 蝙蝠侠：黑暗骑士 		 评分: 9.2 		 短评: 无尽的黑暗。
排名: 27 	 电影名字: 控方证人 		 评分: 9.6 		 短评: 比利·怀德满分作品。
排名: 28 	 电影名字: 活着 		 评分: 9.2 		 短评: 张艺谋最好的电影。
排名: 29 	 电影名字: 乱世佳人 		 评分: 9.3 		 短评: Tomorrow is another day.
排名: 30 	 电影名字: 寻梦环游记 		 评分: 9.1 		 短评: 死亡不是真的逝去，遗忘才是永恒的消亡。
排名: 31 	 电影名字: 末代皇帝 		 评分: 9.2 		 短评: “不要跟我比惨，我比你更惨”再适合这部电影不过了。
排名: 32 	 电影名字: 摔跤吧！爸爸 		 评分: 9.0 		 短评: 你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
排名: 33 	 电影名字: 指环王3：王者无敌 		 评分: 9.2 		 短评: 史诗的终章。
排名: 34 	 电影名字: 何以为家 		 评分: 9.1 		 短评: 凝视卑弱生命，用电影改变命运。
排名: 35 	 电影名字: 少年派的奇幻漂流 		 评分: 9.1 		 短评: 瑰丽壮观、无人能及的冒险之旅。
排名: 36 	 电影名字: 飞屋环游记 		 评分: 9.0 		 短评: 最后那些最无聊的事情，才是最值得怀念的。 
排名: 37 	 电影名字: 十二怒汉 		 评分: 9.4 		 短评: 1957年的理想主义。 
排名: 38 	 电影名字: 鬼子来了 		 评分: 9.2 		 短评: 对敌人的仁慈，就是对自己残忍。
排名: 39 	 电影名字: 天空之城 		 评分: 9.1 		 短评: 对天空的追逐，永不停止。 
排名: 40 	 电影名字: 大话西游之月光宝盒 		 评分: 9.0 		 短评: 旷古烁今。
排名: 41 	 电影名字: 哈尔的移动城堡 		 评分: 9.1 		 短评: 带着心爱的人在天空飞翔。
排名: 42 	 电影名字: 素媛 		 评分: 9.2 		 短评: 受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
排名: 43 	 电影名字: 天堂电影院 		 评分: 9.2 		 短评: 那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
排名: 44 	 电影名字: 罗马假日 		 评分: 9.0 		 短评: 爱情哪怕只有一天。
排名: 45 	 电影名字: 闻香识女人 		 评分: 9.1 		 短评: 史上最美的探戈。
排名: 46 	 电影名字: 辩护人 		 评分: 9.2 		 短评: 电影的现实意义大过电影本身。
排名: 47 	 电影名字: 哈利·波特与魔法石 		 评分: 9.0 		 短评: 童话世界的开端。
排名: 48 	 电影名字: 搏击俱乐部 		 评分: 9.0 		 短评: 邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
排名: 49 	 电影名字: 我不是药神 		 评分: 9.0 		 短评: 对我们国家而言，这样的电影多一部是一部。
排名: 50 	 电影名字: 死亡诗社 		 评分: 9.1 		 短评: 当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
排名: 51 	 电影名字: 教父2 		 评分: 9.2 		 短评: 优雅的孤独。
排名: 52 	 电影名字: 指环王2：双塔奇兵 		 评分: 9.1 		 短评: 承前启后的史诗篇章。
排名: 53 	 电影名字: 狮子王 		 评分: 9.0 		 短评: 动物版《哈姆雷特》。
排名: 54 	 电影名字: 窃听风暴 		 评分: 9.1 		 短评: 别样人生。
排名: 55 	 电影名字: 大闹天宫 		 评分: 9.3 		 短评: 经典之作，历久弥新。
排名: 56 	 电影名字: 指环王1：魔戒再现 		 评分: 9.0 		 短评: 传说的开始。
排名: 57 	 电影名字: 两杆大烟枪 		 评分: 9.1 		 短评: 4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
排名: 58 	 电影名字: 美丽心灵 		 评分: 9.0 		 短评: 爱是一切逻辑和原由。
排名: 59 	 电影名字: 饮食男女 		 评分: 9.1 		 短评: 人生不能像做菜，把所有的料都准备好了才下锅。
排名: 60 	 电影名字: 猫鼠游戏 		 评分: 9.0 		 短评: 骗子大师和执著警探的你追我跑故事。 
排名: 61 	 电影名字: 飞越疯人院 		 评分: 9.1 		 短评: 自由万岁。
排名: 62 	 电影名字: 黑客帝国 		 评分: 9.0 		 短评: 视觉革命。
排名: 63 	 电影名字: 钢琴家 		 评分: 9.2 		 短评: 音乐能化解仇恨。
排名: 64 	 电影名字: V字仇杀队 		 评分: 8.9 		 短评: 一张面具背后的理想与革命。
排名: 65 	 电影名字: 本杰明·巴顿奇事 		 评分: 8.9 		 短评: 在时间之河里感受溺水之苦。
排名: 66 	 电影名字: 看不见的客人 		 评分: 8.8 		 短评: 你以为你以为的就是你以为的。
排名: 67 	 电影名字: 让子弹飞 		 评分: 8.8 		 短评: 你给我翻译翻译，神马叫做TMD的惊喜。
排名: 68 	 电影名字: 西西里的美丽传说 		 评分: 8.9 		 短评: 美丽无罪。
排名: 69 	 电影名字: 小鞋子 		 评分: 9.2 		 短评: 奔跑的孩子是天使。
排名: 70 	 电影名字: 拯救大兵瑞恩 		 评分: 9.0 		 短评: 美利坚精神输出大片No1.
排名: 71 	 电影名字: 情书 		 评分: 8.9 		 短评: 暗恋的极致。
排名: 72 	 电影名字: 穿条纹睡衣的男孩 		 评分: 9.1 		 短评: 尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
排名: 73 	 电影名字: 音乐之声 		 评分: 9.0 		 短评: 用音乐化解仇恨，让歌声串起美好。
排名: 74 	 电影名字: 绿皮书 		 评分: 8.9 		 短评: 去除成见，需要勇气。
排名: 75 	 电影名字: 美国往事 		 评分: 9.2 		 短评: 往事如烟，无处祭奠。
排名: 76 	 电影名字: 海蒂和爷爷 		 评分: 9.2 		 短评: 如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
排名: 77 	 电影名字: 致命魔术 		 评分: 8.9 		 短评: 孪生蝙蝠侠大战克隆金刚狼。
排名: 78 	 电影名字: 低俗小说 		 评分: 8.8 		 短评: 故事的高级讲法。
排名: 79 	 电影名字: 七宗罪 		 评分: 8.8 		 短评: 警察抓小偷，老鼠玩死猫。
排名: 80 	 电影名字: 沉默的羔羊 		 评分: 8.8 		 短评: 安东尼·霍普金斯的顶级表演。
排名: 81 	 电影名字: 蝴蝶效应 		 评分: 8.8 		 短评: 人的命运被自己瞬间的抉择改变。
排名: 82 	 电影名字: 春光乍泄 		 评分: 8.9 		 短评: 爱情纠缠，男女一致。
排名: 83 	 电影名字: 禁闭岛 		 评分: 8.8 		 短评: 昔日翩翩少年，今日大腹便便。
排名: 84 	 电影名字: 被嫌弃的松子的一生 		 评分: 8.9 		 短评: 以戏谑来戏谑戏谑。
